Number,Item,Description,Condition,Status,Notes,ImageURL
9,Walkie Talkie,Motorola,1,0,,
11,Walkie Talkie,Motorola,1,0,,
12,Walkie Talkie,Motorola,1,0,,
25,Sleeping Bag,Blue/Grey,3,0,,
41,Climbing Shoes,Red Scarpa Size 8.5,1,0,,
45,Cooking,metal,3,0,,
50,Guide Book,Map of Mount Washington,1,0,,
51,Guide Book,Map of Lake Jocassee,1,0,,
52,Guide Book,Map of Grand Teton Memorial Parkway,1,0,,
53,Guide Book,Map of Saint Mary's Wilderness,1,0,,
54,Guide Book,Map of Mount Rogers,1,0,,
55,Guide Book,Map of Appalachain Trail Snickers Gap to Chester Gap,1,0,,
56,Guide Book,Map of Appalachain Trail Snickers Gap to Chester Gap,1,0,,
57,Guide Book,Map of Ramsey's Daft Wilderness,1,0,,
58,Guide Book,Circuit Hikes in Shenandoah Nat. Park,1,0,,
90,Harness,Black Diamond,1,0,,
122,Belay Device,Silver ATC W/ Screw Lock Gate,2,0,,
162,Sleeping Bag,Red Mountain Hardware,1,2,,
173,Webbing,Red 1in 60cm,1,0,,
177,Webbing,Green 1in 60cm,1,0,,
178,Webbing,Blue 1in 60cm,1,0,,
181,Webbing,Gray 1in 60cm,1,0,,
209,Guide Book,Rock Climbing Red Rocks,3,0,,
210,Guide Book,Seneca,2,0,,
211,Guide Book,NRG Rock Climber's Guidebook,1,0,,
222,Climbing Protection,Silver Black Diamond Camalot Size 0.4,2,0,,
223,Climbing Protection,Purple Black Diamond Camalot Size 0.5,2,0,,
224,Climbing Protection,Green Camalot Size 0.75,2,0,,
227,Climbing Protection,Red Black Diamond Camalot Size 1,2,0,,
228,Climbing Protection,Gold Black Diamond Camalot Size 2,1,0,,
229,Climbing Protection,Gold Black Diamond Camalot Size 2,2,0,,
230,Climbing Protection,Blue Black Diamond Camalot Size 3,2,0,,
231,Climbing Protection,Blue Black Diamond Camalot Size 3,2,0,,
232,Climbing Protection,Black Diamond Camalot Size 3.5,2,0,,
233,Climbing Protection,Black Diamond Camaot Size 3.5,2,0,,
235,Climbing Protection,Grey Black Diamond Camalot Size 4,2,0,,
236,Climbing Protection,Black Diamond Camalot Size 4.5,2,0,,
291,Sleeping Bag,Red Mountain Hardware,2,0,,
297,Sleeping Bag,Gray/Peach Sierra Designs,2,0,,
328,Sleeping Pad,Green Thermarest Ridgerest,2,0,,
329,Sleeping Pad,Green Thermarest Ridgerest,1,0,,
333,Sleeping Pad,Green Thermarest Ridgerest,1,0,,
345,Sleeping Bag,Blue Slumberjack,2,0,,
367,Backpack,Blue/Yellow Mountain Smith,2,0,,
380,Guide Book,Day and Overnight Hikes in WV,1,0,,
380,Guide Book,Hikes in West Virginia Monongahela,1,0,,
381,Guide Book,Monongahela National Forest Hiking Guide,1,0,,
382,X-Country Ski Poles,"Black/White Rossignol 62""",0,0,,
383,Guide Book,50 Hikes in NOVA,2,0,,
386,Guide Book,the Hiking Trails of Florida,1,0,,
386,Guide Book,The Hiking Trails of Florida's National Forests..,1,0,,
388,Guide Book,Circuit Hikes in Shenandoah National Park,3,0,,
389,Ground Tarp,Gray Tarp in Black Mesh Bag,1,0,,
390,Ground Tarp,Dark Blue Tarp in Black Mesh Bag,1,0,,
391,Ground Tarp,Navy in Mesh Bag,1,0,,
392,Ground Tarp,Gray in Mesh Bag,1,0,,
393,Ground Tarp,Gray in Mesh Bag,1,0,,
394,Ground Tarp,Dark Blue Tarp,1,0,,
395,Ground Tarp,Tarp for Kelty Tent,2,0,,
396,Ground Tarp,Tarp for Kelty Tent,2,0,,
446,Caving Helmet,White,2,0,,
447,Helmet,White Caving/Trailblazing,1,0,,
448,Helmet,White Caving/Trailblazing,1,0,,
449,Helmet,White Caving/Trailblazing,1,0,,
450,Helmet,White Caving/Trailblazing,1,0,,
451,Helmet,White Caving/Trailblazing,1,0,,
463,Helmet,Yellow Caving/Trailblazing,1,0,,
464,Caving Helmet,White,2,0,,
483,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
484,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
486,Stoves,MSR Fuel Canister 33oz/975 ml,1,0,,
501,Backpack Rain Cover,Black MountainSmith,1,0,,
503,Tools,Silver,0,0,,
505,Walkie Talkie,Motorola,3,0,,
506,Walkie Talkie,Motorola,3,0,,
507,Walkie Talkie,Motorola,3,0,,
649,Maps,Mt. Rogers National Geo.,1,0,,
667,Guide Book,"Ramsey's Draft Wilderness, Virginia",1,0,,
669,Guide Book,Map of Appalachain Trail Moreland Gap to Sam's Gap,1,0,,
671,Guide Book,Florida Trail Maps,1,0,,
672,Snowshoes,Green,1,0,,
677,Gaiters,Blue Outdoor Research Gaiters,2,0,,
679,Cooking,Green Igloo Cooler,2,0,,
680,Cooking,Green Igloo Cooler,2,0,,
683,Tent,Turqouise Tent-Probably 4 person,2,0,,
685,Stove,MSR Whisperlite,2,0,,
686,Cooking,Black Plastic,2,0,,
686,Cooking,plastic cooking,1,0,,
687,Cooking,small black cooking pot,2,0,,
688,Cooking,Black Plastic storage cooking pot,2,0,,
689,Cooking,Black Plastic cooking pot,2,0,,
691,Cooking,Grey small camping pan,2,0,,
694,Cooking,"MSR 3 tin cooking pots- large, medium, small",2,0,,
696,Cooking,metal,3,0,,
698,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
699,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
752,Guide Book,"Bubba City, New River Gorge",2,0,,
754,Climbing Shoes,Black Boreal Size,3,0,,
757,Sleeping Pad,grey ridgerest,1,0,,
760,X-Country Skis,Red Alpina,2,0,,
761,X-Country Skis,Red Alpina,2,0,,
762,X-Country Skis,Red Alpina,2,0,,
763,X-Country Skis,Red/Grey Alpina,1,0,,
764,X-Country Skis,Red/Grey Alpina,1,0,,
765,Ski Shoes,Black Alpina,1,0,,
766,Ski Shoes,Black Alpina,1,0,,
767,Ski Shoes,Black Alpina,1,0,,
768,Ski Shoes,Black Alpina,1,0,,
769,Ski Shoes,Black Alpina,1,0,,
770,Ski Shoes,Black Alpina,1,0,,
771,Ski Shoes,Black Alpina,1,0,,
784,Water Bladder,MSR 10 Liter,1,0,,
786,Guide Book,Map of Appalachain Trail in Central Shenadoah,1,0,,
787,Guide Book,Map of Appalachain Trail in Shenadoah Nat. Park,1,0,,
788,Guide Book,Mountain biking in virginia (falcon guide),1,0,,
789,Guide Book,50 Hikes in Southern Virginia,1,0,,
800,Stoves,MSR Whisperlite,1,0,,
801,Stove,MSR Whisperlite,1,0,,
802,Snowshoes,Orange MSR,2,0,,
803,Snowshoes,Orange MSR,2,0,,
804,Snowshoes,Orange MSR,1,0,,
806,Snowshoes,Orange MSR,2,0,,
807,Snowshoes,Orange MSR,1,0,,
808,Snowshoe Tails,Black,1,0,,
809,Snowshoe Tails,Black,2,0,,
810,Snowshoe Tails,Black,1,0,,
811,Snowshoe Tails,Black,1,0,,
812,Snowshoe Tails,Black,2,0,,
813,Snowshoe Tails,Black,2,0,,
814,Snowshoe Tails,Black,1,0,,
815,Snowshoe Tails,Black,2,0,,
822,Backpack Rain Cover,Black MountainSmith,2,0,,
825,Backpack Rain Cover,Black MountainSmith,2,0,,
828,Guide Book,50 Hikes in West Virginia,1,0,,
828,Guide Book,50 hikes in WV,1,0,,
830,Guide Book,Mountain biking in west virginia,1,0,,
831,Guide Book,West Virgina Atlas,1,0,,
831,Guide Book,WV atlas,1,0,,
841,Drawstring Bag,Gray and Green Adidas Bro-bag,1,0,,
842,Drawsting Bag,Gray and Green Adidas Bro-bag,1,0,,
853,Backpack,"navy m frame m waist, no brain",2,0,,
855,Backpack,Red Gregory Electra Womens Small,3,0,,
857,Backpack,Red/Black Medium,2,0,,
858,Backpack,Red Gregory Electra Womens Medium,2,0,,
866,Cooking,MSR large and small cooking tin set,2,0,,
868,Cooking,MSR large and small cooking tin set,1,0,,
869,Cooking,"Silver, small cooking pan",2,0,,
870,Cooking,silver small cooking lid,3,0,,
871,Cooking,Small silver cooking lid,3,0,,
872,Cooking,Large silver cooking lid,3,0,,
873,Cooking,Primus silver cooking lid,1,0,,
873,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
874,Cooking,Small silver cooking pot,2,0,,
875,Cooking,Black cooking pan with handle,1,0,,
876,Cooking,Silver cooking lid,1,0,,
877,Ground Tarp,Grey MSR Papa Hubba,0,0,,
879,Ground Tarp,Grey MSR Hubba Hubba,0,0,,
880,Ground Tarp,Grey MSR Hubba Hubba,0,0,,
881,Ground Tarp,Grey MSR Hubba Hubba,0,0,,
